Título,Director,Inicio,Fin,Tipo,Identificación,Palabras clave,,,
"Perspectiva de género en decisiones judiciales: Aplicando técnicas de Procesamiento de Lenguaje Natural (PLN)
para detectar sesgos en razón del género","Giosa Laura María, Schiaffino Silvia Noemi",2021,2022,PIEDYT (Programa de Fortalecimiento SECAT),,PROCESAMIENTO DE LENGUAJE NATURAL, PERSPECTIVA DE GENERO,,
PICT-E - Plataforma de Servicios para el Desarrollo de Software de Ciudades Inteligentes,Diaz Pace Jorge Andrés,2020,2022,Proyecto de Equipamiento,PICT-E 2018-0239,CIUDADES INTELIGENTES, COMPUTACIÓN ORIENTADA A SERVICIOS, SISTEMAS DE RECOMENDACIÓN,
Plataforma de Servicios para el Desarrollo de Software de Ciudades Inteligentes,"Diaz Pace Jorge Andrés, Zunino Suarez Alejandro",2017,2022,PUE-Proyecto de Unidad Ejecutora,22920170100091CO,CIUDADES INTELIGENTES, COMPUTACIÓN ORIENTADA A SERVICIOS, SISTEMAS DE RECOMENDACIÓN,
Plataforma de Servicios para el Desarrollo de Software de Ciudades Inteligentes – SPU,"Diaz Pace Jorge Andrés, Zunino Suarez Alejandro",2018,2022,Programa de Incentivos – SPU,03/C288,CIUDADES INTELIGENTES, SERVICIOS, APRENDIZAJE DE MAQUINA,
"Predicción de Propiedades de Nuevos Materiales Poliméricos Previo a su Síntesis a Través
del Desarrollo de Métodos Computacionales",Diaz Mónica Fátima,2020,2023,PICT-2018-04533,PICT-2018-04533,QUÍMICA COMPUTACIONAL, MATERIALES POLIMÉRICOS, QSPR,
Recuperación y puesta en funcionamiento de un equipo automático de dispensación de medicamentos,"Tosini Marcelo, Zanelli Gustavo Héctor",2022,2023,03-PEIDYT- 22C,PEIDyT,DISPENSACIÓN DE MEDICAMENTOS, AUTOMATIZACIÓN, IoT, INDUSTRIA 4.0
"Sistema semi-automático de calificación biométrica de vacas lecheras y modernización de la plataforma de
gestión de datos de A.C.H.A. mediante inteligencia artificial y computación móvil",Mateos Diaz Cristian,2022,2023,Proyecto de Investigación y Desarrollo,PID 2020-0001,DEEP LEARNING, PRODUCCION GANADERA,,
Sistemas de recomendación conscientes de daño online en redes sociales,"Godoy Daniela, Schiaffino Silvia Noemí",2022,2025,PICT2020,PICT-2020-SERIEA-01375,SISTEMAS DE RECOMENDACIÓN, CYBER-BULLY, HARM-AWARE, REDES SOCIALES
Técnicas de mitigación de desinformación en sistemas de recomendación,Tommasel Antonela,2021,2023,PICT,PICT- 2019-2019-02620,REDES SOCIALES, SISTEMAS DE RECOMENDACIÓN, DESINFORMACIÓN,
Técnicas de Optimización de Soluciones de Sistemas Embebidos de Alto Rendimiento (SE-AR),Tosini Marcelo,2018,2022,I+D Investigación aplicada,UNCPBA 03-C287,SISTEMAS EMBEBIDOS, LOGICA PROGRAMABLE, ARITMETICA DE COMPUTADORAS, IoT
"Un enfoque inteligente de realidad virtual para teatro invisible que permite observar emociones de personas
mayores mediante dispositivos de internet de las cosas ( IoT)","Cifuentes María Virginia, Rosso Martín Miguel",2021,2022,PIO - FORTALECIMIENTO III SECAT UNICEN,03-PIO-54C,PERSONAS MAYORES, TECNOLOGÍAS EMERGENTES PARA EDUCAR, TEATRO INMERSIVO,
"Prototipo de Recomendación Inteligente de anuncios de un portal de
ventas online basada en la adquisición implícita de preferencias del usuario
y condiciones geoespaciales",Luis Berdun,2021,2021,"Fundación Sadosky, proyecto colaboración universidad - empresa (UNICEN - Región Global)",,,,,
Herramienta de Software para Productores Ganaderos que Utiliza Machine Vision para Estimar Estado Corporal y Peso de los Animales,Cristian Mateos Diaz,2021,2022,"Fundación Sadosky, proyecto colaboración Universidad-Empresa (UNICEN-Holy Data S.A.S)",,"CONDICIÓN CORPORAL, PESO, VACA DE CRÍA, INTELIGENCIA ARTIFICIAL",,,
Plataforma de Software para Censado Participativo y Optimización de Recolección de Residuos Reciclables,Cristian Mateos Diaz,2019,2020,Vinculación Tecnológica (SPU),VT42-UNICEN11636,"RESIDUOS RECICLABLES, SEPARACIÓN EN ORIGEN, PUNTO LIMPIO AUTO-GESTIONADO, APLICACIÓN MÓVIL, ANDROID, IOS",,,
"Desarrollo de un Sistema Automático de Evaluación Biométrica del Ganado Lechero:
Vacas Funcionales para cada Sistema Productivo","Cristian Mateos Diaz, Claudio Machado",2019,2021,PEIDyT - UNCPBA,03-PEIDYT-01C,"CALIFICACIÓN POR TIPO, VACA LECHERA, INTELIGENCIA ARTIFICIAL, COMPUTACIÓN MÓVIL",,,
Infraestructuras distribuidas híbridas para soportar la ejecución de algoritmos para sistemas de recomendación,Alejandro Zunino,2019,2022,PICT,,COMPUTACIÓN DISTRIBUIDA, SISTEMAS DE RECOMENDACIÓN, COMPUTACIÓN MÓVIL,
